"","ID","SubOrder","Genus","Species","CommonName","SpName","SpCode","SpeciesID"
"190",190,"CETACEA","Balaenoptera","spp","Bryde's/Sei/Fin whale","B spp","199","199"
"191",191,"CETACEA","Berardius","minimus","Sato's Beaked Whale","B min","121","121"
"192",192,NA,"Unid",NA,"Water Sample","Unid","200","200"
"193",194,"CETACEA","Mesoplodon","eueu","Ramari's beaked whale","M eue","122","122"
"194",197,"CETACEA","Balaenoptera","ricei","Rice's whale","B ric","123","123"
"195",198,"CETACEA","Neophocaena","asiaeorientalis","Yangtze finless porpoise","N asi","124","124"
"196",199,"CETACEA","Sousa","chinensis","Chinese humpback dolphin","S chi","125","125"
"197",200,"CETACEA","Sousa","chinensis","Taiwanese humpback dolphin, Taiwanese white dolphin","S chi","126","126"
"198",201,"CETACEA","Sousa","plumbea","Indian Ocean humpback dolphin","S plu","127","127"
"199",202,"CETACEA","Sousa","sahulensis","Australian humpback dolphin","S sah","128","128"
"200",203,"CETACEA","Tursiops","erebennus","Tamanend’s bottlenose dolphin","T ere","129","129"
"201",204,"PINNIPEDIA","Pusa","saimensis","Saimaa ringed seal","P sai","130","130"
