Specimen,Skull_RostralLength,Skull_ZygomaticWidth,MeasureDate,MeasureBy,LGTHROW_U,LGTHROW_L,N_Total_Vertebrae,N_Cervical_Vetebrae,N_Thoracic_Vetebrae,N_Lumbar_Vetebrae,N_Caudal_Vetebrae,N_Ribs,N_DoubleHead,N_SingleHead,N_Chevron,N_Teeth_UpperL,N_Teeth_LowerL,N_Teeth_UpperR,N_Teeth_LowerR,EditDate,EditUser,RecordCreationDate
JEH0516             ,27.7999992370605,18.7000007629395,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.467,Susan.Chivers,2017-09-14 12:51:21.467
JEH1028             ,28,18.3999996185303,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.47,Susan.Chivers,2017-09-14 12:51:21.47
JEH1046             ,29.7999992370605,17.8999996185303,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.477,Susan.Chivers,2017-09-14 12:51:21.477
JEH1062             ,31.1000003814697,18.2000007629395,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.48,Susan.Chivers,2017-09-14 12:51:21.48
JHT0303,NA,NA,NA,NA,NA,NA,NA,7,15,20,36,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.45,Susan.Chivers,2017-09-14 12:43:48.45
JKO0012,NA,NA,NA,NA,NA,NA,NA,7,14,20,36,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.457,Susan.Chivers,2017-09-14 12:43:48.457
JKO0013,NA,NA,NA,NA,NA,NA,NA,NA,14,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.46,Susan.Chivers,2017-09-14 12:43:48.46
JOC0044,NA,NA,NA,NA,NA,NA,NA,NA,14,20,36,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.463,Susan.Chivers,2017-09-14 12:43:48.463
JOC0045,NA,NA,NA,NA,NA,NA,NA,7,15,20,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.47,Susan.Chivers,2017-09-14 12:43:48.467
JOC0063,NA,NA,NA,NA,NA,NA,NA,NA,16,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.473,Susan.Chivers,2017-09-14 12:43:48.473
JOH0014,NA,NA,NA,NA,NA,NA,NA,7,16,21,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.477,Susan.Chivers,2017-09-14 12:43:48.477
JOP0003,NA,NA,NA,NA,NA,NA,NA,7,15,21,38,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.48,Susan.Chivers,2017-09-14 12:43:48.48
JOP0033,NA,NA,NA,NA,NA,NA,NA,7,14,23,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.483,Susan.Chivers,2017-09-14 12:43:48.483
JOZ0015,NA,NA,NA,NA,NA,NA,NA,7,17,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.49,Susan.Chivers,2017-09-14 12:43:48.49
JRE0016,NA,NA,NA,NA,NA,NA,NA,7,15,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.493,Susan.Chivers,2017-09-14 12:43:48.493
JRE0018,NA,NA,NA,NA,NA,NA,NA,7,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.497,Susan.Chivers,2017-09-14 12:43:48.497
JRH0009,NA,NA,NA,NA,NA,NA,NA,7,16,18,32,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.5,Susan.Chivers,2017-09-14 12:43:48.5
JRH0010,NA,NA,NA,NA,NA,NA,NA,7,16,18,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.507,Susan.Chivers,2017-09-14 12:43:48.507
JRH0011,NA,NA,NA,NA,NA,NA,NA,7,16,19,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.51,Susan.Chivers,2017-09-14 12:43:48.51
JRH0012,NA,NA,NA,NA,NA,NA,NA,NA,16,20,23,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.513,Susan.Chivers,2017-09-14 12:43:48.513
JRH0013,NA,NA,NA,NA,NA,NA,NA,7,17,15,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.52,Susan.Chivers,2017-09-14 12:43:48.52
JRH0049,NA,NA,NA,NA,NA,NA,NA,7,15,21,21,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.523,Susan.Chivers,2017-09-14 12:43:48.523
JRH0052,NA,NA,NA,NA,NA,NA,NA,7,11,11,21,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.527,Susan.Chivers,2017-09-14 12:43:48.527
JRH0054,NA,NA,NA,NA,NA,NA,NA,7,13,22,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.53,Susan.Chivers,2017-09-14 12:43:48.53
JRH0057,NA,NA,NA,NA,NA,NA,NA,7,13,15,21,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.537,Susan.Chivers,2017-09-14 12:43:48.533
JRH0067,NA,NA,NA,NA,NA,NA,NA,7,13,15,13,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.54,Susan.Chivers,2017-09-14 12:43:48.54
JRH0070,NA,NA,NA,NA,NA,NA,NA,7,13,19,16,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.543,Susan.Chivers,2017-09-14 12:43:48.543
JRH0071,NA,NA,NA,NA,NA,NA,NA,7,15,20,24,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.55,Susan.Chivers,2017-09-14 12:43:48.55
JRH0074,NA,NA,NA,NA,NA,NA,NA,7,15,20,21,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.553,Susan.Chivers,2017-09-14 12:43:48.553
JRH0077,NA,NA,NA,NA,NA,NA,NA,7,13,16,20,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.56,Susan.Chivers,2017-09-14 12:43:48.56
JRH0084,NA,NA,NA,NA,NA,NA,NA,7,14,15,28,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.567,Susan.Chivers,2017-09-14 12:43:48.567
JRH0086,NA,NA,NA,NA,NA,NA,NA,7,11,14,17,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.57,Susan.Chivers,2017-09-14 12:43:48.57
JRH0087,NA,NA,NA,NA,NA,NA,NA,7,10,9,20,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.573,Susan.Chivers,2017-09-14 12:43:48.573
JRH0089,NA,NA,NA,NA,NA,NA,NA,7,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.58,Susan.Chivers,2017-09-14 12:43:48.58
JRH0094,NA,NA,NA,NA,NA,NA,NA,7,14,20,32,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.583,Susan.Chivers,2017-09-14 12:43:48.583
JRH0095,NA,NA,NA,NA,NA,NA,NA,7,13,16,20,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.587,Susan.Chivers,2017-09-14 12:43:48.587
JRH0098,NA,NA,NA,NA,NA,NA,NA,7,13,15,29,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.59,Susan.Chivers,2017-09-14 12:43:48.59
JRH0128,NA,NA,NA,NA,NA,NA,NA,7,14,17,28,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.597,Susan.Chivers,2017-09-14 12:43:48.593
JRH0141,NA,NA,NA,NA,NA,NA,NA,7,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.6,Susan.Chivers,2017-09-14 12:43:48.6
JRH0160,NA,NA,NA,NA,NA,NA,NA,7,15,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.603,Susan.Chivers,2017-09-14 12:43:48.603
JRH0263,NA,NA,NA,NA,NA,NA,NA,7,15,18,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.607,Susan.Chivers,2017-09-14 12:43:48.607
JS 0077,NA,NA,NA,NA,NA,NA,NA,NA,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.61,Susan.Chivers,2017-09-14 12:43:48.61
JS 0078,NA,NA,NA,NA,NA,NA,NA,NA,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.617,Susan.Chivers,2017-09-14 12:43:48.617
JS 0079,NA,NA,NA,NA,NA,NA,NA,NA,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.62,Susan.Chivers,2017-09-14 12:43:48.62
JSW0040,NA,NA,NA,NA,NA,NA,NA,7,15,19,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.623,Susan.Chivers,2017-09-14 12:43:48.623
KXD0029             ,28.6000003814697,18.5,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.487,Susan.Chivers,2017-09-14 12:51:21.487
KXD0038             ,28.6000003814697,19.5,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.49,Susan.Chivers,2017-09-14 12:51:21.49
KXD0041             ,23.3999996185303,18.2000007629395,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.497,Susan.Chivers,2017-09-14 12:51:21.497
KXD0045             ,29,18.3999996185303,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.5,Susan.Chivers,2017-09-14 12:51:21.5
KXD0046             ,23.7999992370605,18,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.507,Susan.Chivers,2017-09-14 12:51:21.507
KXD0054             ,23.1000003814697,18.6000003814697,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.51,Susan.Chivers,2017-09-14 12:51:21.51
KXD0055             ,30.2999992370605,19.2999992370605,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.517,Susan.Chivers,2017-09-14 12:51:21.517
KXD0058             ,27.1000003814697,17.5,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.52,Susan.Chivers,2017-09-14 12:51:21.52
KXD0066             ,27.7999992370605,18.5,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.527,Susan.Chivers,2017-09-14 12:51:21.527
KXD0067             ,23.8999996185303,18.5,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.53,Susan.Chivers,2017-09-14 12:51:21.53
KXD0073             ,24.1000003814697,18.3999996185303,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.537,Susan.Chivers,2017-09-14 12:51:21.537
KXD0077             ,29.2000007629395,18.2000007629395,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.54,Susan.Chivers,2017-09-14 12:51:21.54
KXD0083             ,32,19.1000003814697,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.547,Susan.Chivers,2017-09-14 12:51:21.547
KXD0090             ,22,17.2999992370605,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.55,Susan.Chivers,2017-09-14 12:51:21.55
KXD0096             ,26.3999996185303,18.3999996185303,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.557,Susan.Chivers,2017-09-14 12:51:21.557
KXD0102             ,30.7000007629395,18.5,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.56,Susan.Chivers,2017-09-14 12:51:21.56
KXD0110             ,30.8999996185303,20,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.567,Susan.Chivers,2017-09-14 12:51:21.567
KZP0001             ,23.8999996185303,18.1000003814697,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.57,Susan.Chivers,2017-09-14 12:51:21.57
KZP0002             ,24.7999992370605,18.8999996185303,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.577,Susan.Chivers,2017-09-14 12:51:21.577
KZP0007             ,27.7000007629395,17.7999992370605,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.583,Susan.Chivers,2017-09-14 12:51:21.58
KZP0014             ,25.1000003814697,18.2000007629395,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.587,Susan.Chivers,2017-09-14 12:51:21.587
KZP0057             ,21,14.3999996185303,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.59,Susan.Chivers,2017-09-14 12:51:21.59
KZP0063             ,27.6000003814697,18.5,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.597,Susan.Chivers,2017-09-14 12:51:21.597
KZP0064             ,30.6000003814697,18.7000007629395,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.6,Susan.Chivers,2017-09-14 12:51:21.6
KZP0090             ,27,18.2000007629395,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.607,Susan.Chivers,2017-09-14 12:51:21.607
LACM096361          ,27.5,17.6000003814697,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.61,Susan.Chivers,2017-09-14 12:51:21.61
LGP0151,NA,NA,NA,NA,NA,NA,NA,7,15,24,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.63,Susan.Chivers,2017-09-14 12:43:48.63
LJH0012,NA,NA,NA,NA,NA,NA,NA,7,13,23,30,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.633,Susan.Chivers,2017-09-14 12:43:48.633
LJH0121,30.1000003814697,17.2000007629395,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,7,14,22,36,14,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:49:35.153,Susan.Chivers,2017-09-14 12:43:48.637
LJH0129,143,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.64,Susan.Chivers,2017-09-14 12:43:48.64
LLR0001,NA,NA,NA,NA,NA,NA,NA,7,16,22,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.647,Susan.Chivers,2017-09-14 12:43:48.647
LLR0002,NA,NA,NA,NA,NA,NA,NA,7,16,19,36,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.65,Susan.Chivers,2017-09-14 12:43:48.65
MJK0044             ,20.3999996185303,14.1000003814697,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.617,Susan.Chivers,2017-09-14 12:51:21.617
MSB0011,52.2000007629395,21.3999996185303,NA,NA,NA,NA,NA,NA,13,14,33,NA,5,8,NA,NA,NA,NA,NA,2017-09-14 12:43:48.66,Susan.Chivers,2017-09-14 12:43:48.66
MSB0012,47.5999984741211,20,NA,NA,NA,NA,NA,NA,13,15,32,NA,6,7,NA,NA,NA,NA,NA,2017-09-14 12:43:48.663,Susan.Chivers,2017-09-14 12:43:48.663
MSB0014,49.2000007629395,19.5,NA,NA,NA,NA,NA,NA,13,14,30,NA,6,7,NA,NA,NA,NA,NA,2017-09-14 12:43:48.667,Susan.Chivers,2017-09-14 12:43:48.667
MSB0015,52.2999992370605,22.5,NA,NA,NA,NA,NA,NA,13,14,31,NA,5,8,NA,NA,NA,NA,NA,2017-09-14 12:43:48.67,Susan.Chivers,2017-09-14 12:43:48.67
MSL0150,NA,NA,NA,NA,NA,NA,NA,7,15,21,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.673,Susan.Chivers,2017-09-14 12:43:48.673
MSL0267,NA,NA,NA,NA,NA,NA,NA,7,13,17,28,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.68,Susan.Chivers,2017-09-14 12:43:48.68
MSL0269,NA,NA,NA,NA,NA,NA,NA,7,13,16,26,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.683,Susan.Chivers,2017-09-14 12:43:48.683
MWD0182,NA,NA,NA,NA,NA,NA,NA,NA,15,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.687,Susan.Chivers,2017-09-14 12:43:48.687
MWD0183,NA,NA,NA,NA,NA,NA,NA,NA,14,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.69,Susan.Chivers,2017-09-14 12:43:48.69
MXB0015,NA,NA,NA,NA,NA,NA,NA,NA,13,14,32,NA,7,6,NA,NA,NA,NA,NA,2017-09-14 12:43:48.693,Susan.Chivers,2017-09-14 12:43:48.693
MXB0016,NA,NA,NA,NA,NA,NA,NA,7,13,15,32,NA,6,7,NA,NA,NA,NA,NA,2017-09-14 12:43:48.7,Susan.Chivers,2017-09-14 12:43:48.7
MXB0017,NA,NA,NA,NA,NA,NA,NA,NA,13,15,30,NA,6,7,NA,NA,NA,NA,NA,2017-09-14 12:43:48.703,Susan.Chivers,2017-09-14 12:43:48.703
MXB0018,NA,NA,NA,NA,NA,NA,NA,NA,13,14,31,NA,6,7,NA,NA,NA,NA,NA,2017-09-14 12:43:48.707,Susan.Chivers,2017-09-14 12:43:48.707
MZH0004             ,29.6000003814697,18.3999996185303,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.62,Susan.Chivers,2017-09-14 12:51:21.62
MZH0022             ,29.3999996185303,17.7999992370605,2011-10-04,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.627,Susan.Chivers,2017-09-14 12:51:21.627
PAH0009,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.71,Susan.Chivers,2017-09-14 12:43:48.71
PCW0002,NA,NA,NA,NA,NA,NA,NA,7,14,23,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.713,Susan.Chivers,2017-09-14 12:43:48.713
PEL0307,NA,NA,NA,NA,NA,NA,NA,7,15,21,23,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.72,Susan.Chivers,2017-09-14 12:43:48.72
PEL0309,NA,NA,NA,NA,NA,NA,NA,7,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.723,Susan.Chivers,2017-09-14 12:43:48.723
PEL0310,NA,NA,NA,NA,NA,NA,NA,7,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.727,Susan.Chivers,2017-09-14 12:43:48.727
PEL0311,NA,NA,NA,NA,NA,NA,NA,7,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.73,Susan.Chivers,2017-09-14 12:43:48.73
PEL0312,NA,NA,NA,NA,NA,NA,NA,7,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.737,Susan.Chivers,2017-09-14 12:43:48.737
PEL0313,NA,NA,NA,NA,NA,NA,NA,7,15,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.74,Susan.Chivers,2017-09-14 12:43:48.74
PEL0314,NA,NA,NA,NA,NA,NA,NA,7,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.743,Susan.Chivers,2017-09-14 12:43:48.743
PEL0315,NA,NA,NA,NA,NA,NA,NA,7,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.75,Susan.Chivers,2017-09-14 12:43:48.75
PEL0316,NA,NA,NA,NA,NA,NA,NA,7,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.753,Susan.Chivers,2017-09-14 12:43:48.753
PLT0006,NA,NA,NA,NA,NA,NA,NA,7,15,21,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.757,Susan.Chivers,2017-09-14 12:43:48.757
RAM0005,NA,NA,NA,NA,NA,NA,NA,7,14,23,36,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.76,Susan.Chivers,2017-09-14 12:43:48.76
RAM0006,NA,NA,NA,NA,NA,NA,NA,7,15,21,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.763,Susan.Chivers,2017-09-14 12:43:48.763
RAM0007,NA,NA,NA,NA,NA,NA,NA,7,15,22,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.77,Susan.Chivers,2017-09-14 12:43:48.77
RAM0008,NA,NA,NA,NA,NA,NA,NA,7,14,25,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.773,Susan.Chivers,2017-09-14 12:43:48.773
RAM0009,NA,NA,NA,NA,NA,NA,NA,7,NA,22,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.777,Susan.Chivers,2017-09-14 12:43:48.777
RAM0010,NA,NA,NA,NA,NA,NA,NA,7,15,23,36,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.78,Susan.Chivers,2017-09-14 12:43:48.78
RAM0011,NA,NA,NA,NA,NA,NA,NA,7,15,21,39,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.787,Susan.Chivers,2017-09-14 12:43:48.787
RAM0012,NA,NA,NA,NA,NA,NA,NA,7,15,21,36,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.79,Susan.Chivers,2017-09-14 12:43:48.79
RAM0013,NA,NA,NA,NA,NA,NA,NA,7,15,23,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.793,Susan.Chivers,2017-09-14 12:43:48.793
RCR0151,NA,NA,NA,NA,NA,NA,NA,7,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.8,Susan.Chivers,2017-09-14 12:43:48.8
RCR0153,NA,NA,NA,NA,NA,NA,NA,7,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.803,Susan.Chivers,2017-09-14 12:43:48.803
RDS0158,NA,NA,NA,NA,NA,NA,NA,7,14,20,31,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.807,Susan.Chivers,2017-09-14 12:43:48.807
RMB0023,NA,NA,NA,NA,NA,NA,NA,7,16,19,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.81,Susan.Chivers,2017-09-14 12:43:48.81
RMB0024,NA,NA,NA,NA,NA,NA,NA,7,16,21,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.817,Susan.Chivers,2017-09-14 12:43:48.817
RMB0047,NA,NA,NA,NA,NA,NA,NA,7,16,22,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.82,Susan.Chivers,2017-09-14 12:43:48.82
RXJ0170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.823,Susan.Chivers,2017-09-14 12:43:48.823
SCB0164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.827,Susan.Chivers,2017-09-14 12:43:48.827
SJC0012             ,28.6000003814697,18.8999996185303,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.63,Susan.Chivers,2017-09-14 12:51:21.63
SKL0102             ,27.2000007629395,17.1000003814697,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.637,Susan.Chivers,2017-09-14 12:51:21.637
SKL0103             ,28.3999996185303,18.1000003814697,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.64,Susan.Chivers,2017-09-14 12:51:21.64
SRM0043,NA,NA,NA,NA,NA,NA,NA,7,15,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.83,Susan.Chivers,2017-09-14 12:43:48.83
SRM0044,NA,NA,NA,NA,NA,NA,NA,7,16,20,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.837,Susan.Chivers,2017-09-14 12:43:48.837
