Specimen,Skull_RostralLength,Skull_ZygomaticWidth,MeasureDate,MeasureBy,LGTHROW_U,LGTHROW_L,N_Total_Vertebrae,N_Cervical_Vetebrae,N_Thoracic_Vetebrae,N_Lumbar_Vetebrae,N_Caudal_Vetebrae,N_Ribs,N_DoubleHead,N_SingleHead,N_Chevron,N_Teeth_UpperL,N_Teeth_LowerL,N_Teeth_UpperR,N_Teeth_LowerR,EditDate,EditUser,RecordCreationDate
DJT0039,NA,NA,NA,NA,NA,NA,NA,7,17,18,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.343,Susan.Chivers,2017-09-14 12:43:48.343
DJT0040,NA,NA,NA,NA,NA,NA,NA,7,16,20,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.347,Susan.Chivers,2017-09-14 12:43:48.347
DJT0041,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.35,Susan.Chivers,2017-09-14 12:43:48.35
DJT0042,NA,NA,NA,NA,NA,NA,NA,7,16,18,38,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.353,Susan.Chivers,2017-09-14 12:43:48.353
DJT0043,NA,NA,NA,NA,NA,NA,NA,7,17,20,36,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.36,Susan.Chivers,2017-09-14 12:43:48.36
DJT0045,NA,NA,NA,NA,NA,NA,NA,7,16,19,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.363,Susan.Chivers,2017-09-14 12:43:48.363
DJT0046,NA,NA,NA,NA,NA,NA,NA,7,17,17,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.367,Susan.Chivers,2017-09-14 12:43:48.367
DJT0047,NA,NA,NA,NA,NA,NA,NA,7,17,19,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.37,Susan.Chivers,2017-09-14 12:43:48.37
DRF0003,NA,NA,NA,NA,NA,NA,NA,7,15,21,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.377,Susan.Chivers,2017-09-14 12:43:48.377
DRF0004,NA,NA,NA,NA,NA,NA,NA,7,16,19,36,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.38,Susan.Chivers,2017-09-14 12:43:48.38
DRF0005,NA,NA,NA,NA,NA,NA,NA,7,16,20,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.383,Susan.Chivers,2017-09-14 12:43:48.383
DRF0008,NA,NA,NA,NA,NA,NA,NA,7,15,20,39,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.39,Susan.Chivers,2017-09-14 12:43:48.39
DSJ1763             ,30.2999992370605,18.7999992370605,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.227,Susan.Chivers,2017-09-14 12:51:21.227
DSJ1764             ,29,18.1000003814697,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.23,Susan.Chivers,2017-09-14 12:51:21.23
DSJ1792             ,26.3999996185303,16.3999996185303,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.237,Susan.Chivers,2017-09-14 12:51:21.237
DSJ1817             ,27.2999992370605,17.5,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.24,Susan.Chivers,2017-09-14 12:51:21.24
DSJ1836             ,29.1000003814697,18,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.247,Susan.Chivers,2017-09-14 12:51:21.243
DSJ1847             ,28.7999992370605,18.3999996185303,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.25,Susan.Chivers,2017-09-14 12:51:21.25
DSJ1850             ,31.2999992370605,18.6000003814697,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.257,Susan.Chivers,2017-09-14 12:51:21.253
DSJ1853             ,31.2999992370605,17.7999992370605,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.26,Susan.Chivers,2017-09-14 12:51:21.26
DSJ1854             ,29.1000003814697,18,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.267,Susan.Chivers,2017-09-14 12:51:21.263
DSJ1856             ,31,18.2999992370605,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.27,Susan.Chivers,2017-09-14 12:51:21.27
DSJ1861             ,29.7000007629395,19.2000007629395,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.273,Susan.Chivers,2017-09-14 12:51:21.273
DSJ1862             ,29,18.3999996185303,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.28,Susan.Chivers,2017-09-14 12:51:21.28
DSJ1864             ,31.8999996185303,19.6000003814697,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.287,Susan.Chivers,2017-09-14 12:51:21.283
DSJ1866             ,31.2999992370605,19.1000003814697,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.29,Susan.Chivers,2017-09-14 12:51:21.29
