ID,Specimen,GonadTypeID,Side,IsDry,DryBox,CurateDate,EditDate,EditUser,RecordCreationDate
65,AEC0497,1,L,Y,NA,NA,2019-07-17 10:17:19.447,Kerri.Danil,NA
66,AEC0507,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
67,AEC0524,1,L,Y,16,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
68,AEC0606,1,L,Y,16,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
69,AEC0608,1,L,Y,16,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
70,AEC0621,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
71,AGA0002,1,L,Y,18,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
72,AGA0004,1,L,Y,13,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
73,AGA0014,1,L,Y,18,NA,2018-03-14 10:38:25.337,Kerri.Danil,NA
74,AGA0015,1,L,Y,13,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
75,AGA0016,1,L,Y,18,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
76,AGR0017,1,L,Y,7,2012-05-30,2017-10-25 11:30:37.323,Susan.Chivers,NA
77,AGR0046,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
78,AP 0012,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
79,AP 0024,1,U,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
80,AP 0028,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
81,AP 0031,1,A,Y,NA,2015-01-27,2017-10-25 11:24:59.04,Susan.Chivers,NA
82,AP 0032,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
83,AP 0035,1,U,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
84,ASH0008,1,L,Y,NA,NA,2018-12-18 10:12:39.22,Kerri.Danil,NA
85,ASH0010,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
86,ASH0013,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
87,ASH0014,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
88,ASH0019,1,L,Y,NA,NA,2018-12-18 10:12:49.7,Kerri.Danil,NA
89,ASH0023,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
90,ASH0026,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
91,ASH0028,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
92,ASH0031,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
93,ASH0033,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
94,ASH0034,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
95,ASH0035,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
96,ASH0036,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
97,ASH0040,1,U,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
98,ASH0042,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
99,ASH0043,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
100,ASH0044,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
101,ASH0059,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
102,ASH0060,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
103,ASH0071,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
104,ASH0076,1,L,Y,10,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
105,ASH0077,1,L,Y,9,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
106,ASH0094,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
107,ASH0107,1,L,Y,9,2012-05-30,2019-05-28 10:28:35.34,Kerri.Danil,NA
108,ASH0113,1,L,Y,10,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
109,ASH0121,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
110,ASH0129,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
111,ASH0132,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
112,ASH0138,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
113,ASH0159,1,L,Y,22,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
114,ASH0169,1,L,Y,22,NA,2019-07-08 15:30:20.43,Kerri.Danil,NA
115,ASH0192,1,L,Y,22,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
116,ASH0207,1,L,Y,22,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
117,AXP0007,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
118,AXP0010,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
119,AXP0018,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
120,AXP0052,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
121,AXP0064,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
122,AXP0070,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
123,AXP0106,1,L,Y,NA,NA,2023-10-19 14:05:10.263,Keiko.Sherman,NA
124,AXP0234,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
125,AXP0235,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
126,AXP0237,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
127,AXP0240,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
128,AXP0243,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
129,AXP0246,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
130,AXP0249,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
131,AXP0253,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
132,AXP0254,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
133,AXP0255,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
134,AXP0261,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
135,AXP0262,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
136,AXP0265,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
137,AXR0016,1,L,Y,2,2012-05-30,2024-08-23 14:57:04.043,Keiko.Sherman,NA
138,BAH0061,1,L,Y,NA,NA,2018-08-07 14:46:39.503,Kerri.Danil,NA
139,BAH0070,1,L,Y,NA,NA,2018-08-07 14:47:03.37,Kerri.Danil,NA
140,BAS0028,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
141,BAS0029,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
142,BAS0033,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
143,BAS0039,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
144,BAS0054,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
145,BAS0055,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
146,BAS0059,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
147,BAS0060,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
148,BAS0068,1,L,Y,NA,NA,2019-05-30 11:28:55.723,Kerri.Danil,NA
149,BCC0005,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
150,BCC0029,1,L,Y,20,NA,2018-10-01 15:51:04.787,Kerri.Danil,NA
151,BCC0030,1,L,Y,20,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
152,BCC0031,1,L,Y,20,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
153,BCC0032,1,L,Y,18,NA,2018-10-01 15:51:10.993,Kerri.Danil,NA
154,BCC0039,1,L,Y,20,NA,2018-10-01 15:51:24.12,Kerri.Danil,NA
155,BCC0040,1,L,Y,20,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
156,BCC0042,1,L,Y,18,NA,2018-10-01 15:51:28.043,Kerri.Danil,NA
157,BCC0045,1,L,Y,20,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
158,BCC0050,1,L,Y,NA,NA,2024-02-06 10:38:05.167,Keiko.Sherman,NA
159,BCC0060,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
160,BCC0064,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
161,BCC0065,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
162,BCC0066,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
163,BCC0068,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
164,BCC0079,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
165,BCC0080,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
166,BCC0084,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
167,BCC0086,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
168,BCC0089,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
169,BCC0091,1,L,Y,NA,NA,2019-05-30 11:32:08.837,Kerri.Danil,NA
170,BCC0119,1,L,Y,NA,NA,2019-05-30 11:32:19.06,Kerri.Danil,NA
171,BCC0121,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
172,BCC0129,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
173,BCC0133,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
174,BDJ0139,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
175,BDP0003,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
176,BDP0006,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
177,BDP0008,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
178,BDP0010,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
179,BDP0023,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
180,BDP0027,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
181,BDP0048,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
182,BDP0053,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
183,BDP0054,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
184,BDS0004,1,L,Y,10,2012-05-30,2018-10-01 15:47:21.647,Kerri.Danil,NA
185,BDS0005,1,L,Y,10,2012-05-30,2018-10-01 15:47:24.167,Kerri.Danil,NA
186,BDS0008,1,L,Y,10,2012-05-30,2018-10-01 15:47:28.27,Kerri.Danil,NA
187,BDS0012,1,L,Y,9,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
188,BDS0013,1,L,Y,10,2012-05-30,2018-10-01 15:47:33.267,Kerri.Danil,NA
189,BDS0014,1,L,Y,10,2012-05-30,2018-10-01 15:47:34.353,Kerri.Danil,NA
190,BDS0024,1,L,Y,10,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
191,BDS0028,1,L,Y,10,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
192,BDS0032,1,L,Y,9,2012-05-30,2018-10-01 15:48:07.25,Kerri.Danil,NA
193,BDS0033,1,L,Y,11,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
194,BDS0034,1,L,Y,9,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
195,BDS0036,1,L,Y,10,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
196,BGB0015,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
197,BGT0005,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
198,BJB0004,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
199,BJB0053,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
200,BKL0002,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
201,BKL0004,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
202,BKL0146,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
203,BKL0172,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
204,BOT0009,1,L,Y,NA,NA,2018-08-30 15:00:23.58,Kerri.Danil,NA
205,BOT0015,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
206,BOT0027,1,L,Y,NA,NA,2018-08-30 15:00:34.61,Kerri.Danil,NA
207,BOT0028,1,L,Y,NA,NA,2018-08-30 15:00:37.623,Kerri.Danil,NA
208,BOT0036,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
209,BOT0039,1,L,Y,NA,NA,2018-08-30 15:07:41.383,Kerri.Danil,NA
210,BOT0049,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
211,BOT0051,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
212,BSM0018,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
213,BSM0020,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
214,BSM0037,1,L,Y,NA,NA,2017-12-13 15:07:37.25,Kerri.Danil,NA
215,BSM0044,1,L,Y,NA,NA,2017-12-13 15:10:24.27,Kerri.Danil,NA
216,BVB0057,1,L,Y,1,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
217,BXR0094,1,L,Y,13,2012-05-30,2018-03-14 12:04:53.373,Kerri.Danil,NA
218,BXR0113,1,L,Y,13,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
219,BXR0118,1,L,Y,13,2012-05-30,2018-03-14 12:06:53.41,Kerri.Danil,NA
220,BXR0154,1,L,Y,13,2012-05-30,2018-03-14 12:08:17.297,Kerri.Danil,NA
221,BXR0204,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
222,BXR0205,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
223,BXR0209,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
224,BXR0215,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
225,BXR0216,1,L,Y,NA,NA,2018-04-25 10:16:27.97,Kerri.Danil,NA
226,BXR0223,1,L,Y,NA,NA,2018-04-25 10:16:31.36,Kerri.Danil,NA
227,BXR0237,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
228,BXR0239,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
229,BXR0244,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
230,BXR0248,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
231,BXR0252,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
232,BXR0254,1,L,Y,NA,NA,2018-04-25 10:16:59.843,Kerri.Danil,NA
233,BXR0255,1,L,Y,NA,NA,2018-04-25 10:17:03.61,Kerri.Danil,NA
234,BXR0261,1,L,Y,NA,NA,2018-04-25 10:17:09.857,Kerri.Danil,NA
235,BXR0263,1,L,Y,NA,NA,2018-04-25 10:17:18.55,Kerri.Danil,NA
236,BXR0264,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
237,BXR0268,1,L,Y,NA,NA,2018-04-25 10:17:21.883,Kerri.Danil,NA
238,BXR0275,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
239,BXR0282,1,L,Y,NA,NA,2018-04-25 10:17:26.177,Kerri.Danil,NA
240,BXR0294,1,L,Y,NA,NA,2018-04-25 10:18:01.567,Kerri.Danil,NA
241,BXR0296,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
242,BXR0297,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
243,BXR0301,1,L,Y,NA,NA,2018-04-25 10:14:39.32,Kerri.Danil,NA
244,BXR0306,1,L,Y,NA,NA,2018-04-25 10:14:47.203,Kerri.Danil,NA
245,BXR0313,1,L,Y,NA,NA,2018-04-25 10:15:03.497,Kerri.Danil,NA
246,BXR0364,1,L,Y,NA,NA,2018-05-10 09:45:13.66,Kerri.Danil,NA
247,BXR0370,1,L,Y,NA,NA,2018-05-10 09:13:56.36,Kerri.Danil,NA
248,BXR0371,1,L,Y,NA,NA,2018-05-10 09:13:57.173,Kerri.Danil,NA
