ID,Specimen,CollectionID,AccessionNumber,EditDate,EditUser,RecordCreationDate
1491,TRK0214,2,072137,2017-11-07 14:00:49.177,NA,2017-11-07 14:00:49.177
1492,DBH0718,2,054815,2017-11-07 14:00:49.4,NA,2017-11-07 14:00:49.4
1493,TEB0044,2,072125,2017-11-07 14:00:49.63,NA,2017-11-07 14:00:49.63
1494,RAB0004,2,072118,2017-11-07 14:00:49.853,NA,2017-11-07 14:00:49.853
1495,TRK0210,2,072135,2017-11-07 14:00:50.077,NA,2017-11-07 14:00:50.077
1496,TRK0209,2,072134,2017-11-07 14:00:50.3,NA,2017-11-07 14:00:50.3
1497,TRK0207,2,072133,2017-11-07 14:00:50.52,NA,2017-11-07 14:00:50.52
1498,TEB0053,2,072132,2017-11-07 14:00:50.75,NA,2017-11-07 14:00:50.75
1499,TEB0052,2,072131,2017-11-07 14:00:50.97,NA,2017-11-07 14:00:50.97
1500,TEB0051,2,072130,2017-11-07 14:00:51.203,NA,2017-11-07 14:00:51.203
1501,TEB0048,2,072129,2017-11-07 14:00:51.43,NA,2017-11-07 14:00:51.43
1502,TEB0047,2,072128,2017-11-07 14:00:51.667,NA,2017-11-07 14:00:51.667
1503,JEK0034,2,096432,2017-11-07 14:00:51.897,NA,2017-11-07 14:00:51.897
1504,TEB0045,2,072126,2017-11-07 14:00:52.12,NA,2017-11-07 14:00:52.12
1505,RCR0153,2,072558,2017-11-07 14:00:52.353,NA,2017-11-07 14:00:52.353
1506,PGT0019,2,072124,2017-11-07 14:00:52.577,NA,2017-11-07 14:00:52.577
1507,PGT0018,2,072123,2017-11-07 14:00:52.783,NA,2017-11-07 14:00:52.783
1508,PGT0017,2,072122,2017-11-07 14:00:53.02,NA,2017-11-07 14:00:53.02
1509,GCF0017,2,072121,2017-11-07 14:00:53.24,NA,2017-11-07 14:00:53.24
1510,GCF0016,2,072120,2017-11-07 14:00:53.46,NA,2017-11-07 14:00:53.46
1511,GCF0015,2,072119,2017-11-07 14:00:53.683,NA,2017-11-07 14:00:53.683
1512,TRK0204,2,096442,2017-11-07 14:00:53.943,NA,2017-11-07 14:00:53.943
1513,RMP0013,2,096441,2017-11-07 14:00:54.163,NA,2017-11-07 14:00:54.163
1514,RMP0012,2,096440,2017-11-07 14:00:54.383,NA,2017-11-07 14:00:54.383
1515,DRD0003,2,054829,2017-11-07 14:00:54.64,NA,2017-11-07 14:00:54.64
1516,TEB0046,2,072127,2017-11-07 14:00:54.857,NA,2017-11-07 14:00:54.857
1517,JOT0015,2,054865,2017-11-07 14:00:55.08,NA,2017-11-07 14:00:55.08
1518,JEL0021,2,054854,2017-11-07 14:00:55.3,NA,2017-11-07 14:00:55.3
1519,JOT0004,2,054855,2017-11-07 14:00:55.523,NA,2017-11-07 14:00:55.523
1520,JOT0005,2,054856,2017-11-07 14:00:55.747,NA,2017-11-07 14:00:55.747
1521,JOT0007,2,054857,2017-11-07 14:00:55.973,NA,2017-11-07 14:00:55.973
1522,JOT0008,2,054858,2017-11-07 14:00:56.197,NA,2017-11-07 14:00:56.197
1523,JOT0009,2,054859,2017-11-07 14:00:56.417,NA,2017-11-07 14:00:56.417
1524,JOT0010,2,054860,2017-11-07 14:00:56.643,NA,2017-11-07 14:00:56.643
1525,JOT0011,2,054861,2017-11-07 14:00:56.863,NA,2017-11-07 14:00:56.863
1526,JOT0012,2,054862,2017-11-07 14:00:57.087,NA,2017-11-07 14:00:57.087
1527,DBH0730,2,054827,2017-11-07 14:00:57.307,NA,2017-11-07 14:00:57.307
1528,JOT0014,2,054864,2017-11-07 14:00:57.587,NA,2017-11-07 14:00:57.587
1529,GSD0048,2,054851,2017-11-07 14:00:57.81,NA,2017-11-07 14:00:57.81
1530,JOT0016,2,054866,2017-11-07 14:00:58.027,NA,2017-11-07 14:00:58.027
1531,JOT0017,2,054867,2017-11-07 14:00:58.25,NA,2017-11-07 14:00:58.25
1532,JOT0019,2,054868,2017-11-07 14:00:58.47,NA,2017-11-07 14:00:58.47
1533,JOT0020,2,054869,2017-11-07 14:00:58.693,NA,2017-11-07 14:00:58.693
1534,JOT0021,2,054870,2017-11-07 14:00:58.907,NA,2017-11-07 14:00:58.907
1535,JOT0025,2,054871,2017-11-07 14:00:59.127,NA,2017-11-07 14:00:59.127
1536,JWG0005,2,054872,2017-11-07 14:00:59.347,NA,2017-11-07 14:00:59.347
1537,JWG0009,2,054873,2017-11-07 14:00:59.57,NA,2017-11-07 14:00:59.57
1538,JWG0010,2,054874,2017-11-07 14:00:59.817,NA,2017-11-07 14:00:59.817
1539,JOT0013,2,054863,2017-11-07 14:01:00.043,NA,2017-11-07 14:01:00.043
1540,GSD0033,2,054841,2017-11-07 14:01:00.267,NA,2017-11-07 14:01:00.267
1541,FAA0055,2,054830,2017-11-07 14:01:00.49,NA,2017-11-07 14:01:00.49
1542,FAA0056,2,054831,2017-11-07 14:01:00.713,NA,2017-11-07 14:01:00.713
1543,FMR0074,2,054832,2017-11-07 14:01:00.96,NA,2017-11-07 14:01:00.96
1544,FMR0075,2,054833,2017-11-07 14:01:01.18,NA,2017-11-07 14:01:01.18
1545,FMR0076,2,054834,2017-11-07 14:01:01.403,NA,2017-11-07 14:01:01.403
1546,FMR0078,2,054835,2017-11-07 14:01:01.627,NA,2017-11-07 14:01:01.627
1547,FMR0079,2,054836,2017-11-07 14:01:01.847,NA,2017-11-07 14:01:01.847
1548,FMR0083,2,054837,2017-11-07 14:01:02.08,NA,2017-11-07 14:01:02.08
1549,FMR0085,2,054838,2017-11-07 14:01:02.3,NA,2017-11-07 14:01:02.3
1550,JEL0020,2,054853,2017-11-07 14:01:02.52,NA,2017-11-07 14:01:02.52
1551,GSD0031,2,054840,2017-11-07 14:01:02.753,NA,2017-11-07 14:01:02.753
1552,GSD0049,2,054852,2017-11-07 14:01:02.973,NA,2017-11-07 14:01:02.973
1553,GSD0034,2,054842,2017-11-07 14:01:03.19,NA,2017-11-07 14:01:03.19
1554,GSD0036,2,054843,2017-11-07 14:01:03.413,NA,2017-11-07 14:01:03.413
1555,GSD0037,2,054844,2017-11-07 14:01:03.633,NA,2017-11-07 14:01:03.633
1556,GSD0038,2,054845,2017-11-07 14:01:03.857,NA,2017-11-07 14:01:03.857
1557,GSD0039,2,054846,2017-11-07 14:01:04.083,NA,2017-11-07 14:01:04.083
1558,GSD0040,2,054847,2017-11-07 14:01:04.31,NA,2017-11-07 14:01:04.31
1559,GSD0043,2,054848,2017-11-07 14:01:04.533,NA,2017-11-07 14:01:04.533
1560,GSD0044,2,054849,2017-11-07 14:01:04.757,NA,2017-11-07 14:01:04.757
1561,GSD0045,2,054850,2017-11-07 14:01:04.977,NA,2017-11-07 14:01:04.977
1562,TRK0216,2,072138,2017-11-07 14:01:05.193,NA,2017-11-07 14:01:05.193
1563,GLL0042,2,054839,2017-11-07 14:01:05.413,NA,2017-11-07 14:01:05.413
1564,AXP0094,2,054981,2017-11-07 14:01:05.633,NA,2017-11-07 14:01:05.633
1565,JWG0011,2,054992,2017-11-07 14:01:05.857,NA,2017-11-07 14:01:05.857
1566,JOT0026,2,054991,2017-11-07 14:01:06.077,NA,2017-11-07 14:01:06.077
1567,JEK0027,2,054990,2017-11-07 14:01:06.357,NA,2017-11-07 14:01:06.357
