ID,Specimen,CollectionID,AccessionNumber,EditDate,EditUser,RecordCreationDate
1,CV 0305,1,395459,2017-11-07 13:55:12.387,NA,2017-11-07 13:55:12.387
2,CV 0306,1,395460,2017-11-07 13:55:12.617,NA,2017-11-07 13:55:12.617
3,CV 0287,1,395417,2017-11-07 13:55:12.84,NA,2017-11-07 13:55:12.84
4,CV 0304,1,395458,2017-11-07 13:55:13.06,NA,2017-11-07 13:55:13.06
5,CV 0307,1,395461,2017-11-07 13:55:13.287,NA,2017-11-07 13:55:13.287
6,CV 0308,1,395462,2017-11-07 13:55:13.51,NA,2017-11-07 13:55:13.51
7,PQ 0004,1,395410,2017-11-07 13:55:13.737,NA,2017-11-07 13:55:13.737
8,CV 0310,1,395464,2017-11-07 13:55:13.957,NA,2017-11-07 13:55:13.957
9,CV 0311,1,395465,2017-11-07 13:55:14.183,NA,2017-11-07 13:55:14.183
10,CV 0312,1,395466,2017-11-07 13:55:14.417,NA,2017-11-07 13:55:14.417
11,CV 0309,1,395463,2017-11-07 13:55:14.637,NA,2017-11-07 13:55:14.637
12,PQ 0002,1,395408,2017-11-07 13:55:14.863,NA,2017-11-07 13:55:14.863
13,PQ 0001,1,395407,2017-11-07 13:55:15.087,NA,2017-11-07 13:55:15.087
14,CV 0286,1,395397,2017-11-07 13:55:15.307,NA,2017-11-07 13:55:15.307
15,CV 0284,1,395395,2017-11-07 13:55:15.547,NA,2017-11-07 13:55:15.547
16,CV 0282,1,395393,2017-11-07 13:55:15.77,NA,2017-11-07 13:55:15.77
17,CV 0300,1,395532,2017-11-07 13:55:15.99,NA,2017-11-07 13:55:15.99
18,CV 0281,1,395392,2017-11-07 13:55:16.23,NA,2017-11-07 13:55:16.23
19,CV 0280,1,395391,2017-11-07 13:55:16.45,NA,2017-11-07 13:55:16.45
20,CWO0254,1,487236,2017-11-07 13:55:16.677,NA,2017-11-07 13:55:16.677
21,CV 0279,1,395390,2017-11-07 13:55:16.897,NA,2017-11-07 13:55:16.897
22,CWO0256,1,487237,2017-11-07 13:55:17.12,NA,2017-11-07 13:55:17.12
23,CV 0278,1,395389,2017-11-07 13:55:17.347,NA,2017-11-07 13:55:17.347
24,CV 0277,1,395388,2017-11-07 13:55:17.57,NA,2017-11-07 13:55:17.57
25,CV 0276,1,395387,2017-11-07 13:55:17.797,NA,2017-11-07 13:55:17.797
26,CV 0283,1,395394,2017-11-07 13:55:18.017,NA,2017-11-07 13:55:18.017
27,CV 0328,1,395617,2017-11-07 13:55:18.24,NA,2017-11-07 13:55:18.24
28,CV 0297,1,395529,2017-11-07 13:55:18.47,NA,2017-11-07 13:55:18.47
29,CV 0322,1,395610,2017-11-07 13:55:18.693,NA,2017-11-07 13:55:18.693
30,CV 0323,1,395611,2017-11-07 13:55:18.917,NA,2017-11-07 13:55:18.917
31,CV 0324,1,395612,2017-11-07 13:55:19.157,NA,2017-11-07 13:55:19.157
32,CV 0325,1,395613,2017-11-07 13:55:19.377,NA,2017-11-07 13:55:19.377
33,CV 0320,1,395608,2017-11-07 13:55:19.597,NA,2017-11-07 13:55:19.597
34,CV 0327,1,395616,2017-11-07 13:55:19.817,NA,2017-11-07 13:55:19.817
35,CV 0319,1,395607,2017-11-07 13:55:20.037,NA,2017-11-07 13:55:20.037
36,CV 0329,1,395618,2017-11-07 13:55:20.257,NA,2017-11-07 13:55:20.257
37,WFP0066,1,396018,2017-11-07 13:55:20.48,NA,2017-11-07 13:55:20.48
38,WFP0068,1,396020,2017-11-07 13:55:20.7,NA,2017-11-07 13:55:20.7
39,WFP0070,1,396022,2017-11-07 13:55:20.923,NA,2017-11-07 13:55:20.923
40,WFP0072,1,396024,2017-11-07 13:55:21.15,NA,2017-11-07 13:55:21.15
41,WFP0073,1,396025,2017-11-07 13:55:21.373,NA,2017-11-07 13:55:21.373
42,CV 0326,1,395615,2017-11-07 13:55:21.597,NA,2017-11-07 13:55:21.597
43,CV 0291,1,395596,2017-11-07 13:55:21.823,NA,2017-11-07 13:55:21.823
44,CV 0314,1,395468,2017-11-07 13:55:22.047,NA,2017-11-07 13:55:22.047
45,CV 0295,1,395527,2017-11-07 13:55:22.27,NA,2017-11-07 13:55:22.27
46,CV 0275,1,395386,2017-11-07 13:55:22.48,NA,2017-11-07 13:55:22.48
47,CV 0298,1,395530,2017-11-07 13:55:22.703,NA,2017-11-07 13:55:22.703
48,CV 0303,1,395535,2017-11-07 13:55:22.923,NA,2017-11-07 13:55:22.923
49,CV 0321,1,395609,2017-11-07 13:55:23.15,NA,2017-11-07 13:55:23.15
50,CV 0290,1,395595,2017-11-07 13:55:23.37,NA,2017-11-07 13:55:23.37
51,CV 0313,1,395467,2017-11-07 13:55:23.677,NA,2017-11-07 13:55:23.677
52,CV 0092,1,395597,2017-11-07 13:55:23.897,NA,2017-11-07 13:55:23.897
53,CV 0293,1,395598,2017-11-07 13:55:24.123,NA,2017-11-07 13:55:24.123
54,CV 0315,1,395603,2017-11-07 13:55:24.347,NA,2017-11-07 13:55:24.347
55,CV 0316,1,395604,2017-11-07 13:55:24.567,NA,2017-11-07 13:55:24.567
56,CV 0317,1,395605,2017-11-07 13:55:24.8,NA,2017-11-07 13:55:24.8
57,CV 0318,1,395606,2017-11-07 13:55:25.02,NA,2017-11-07 13:55:25.02
58,CV 0289,1,395594,2017-11-07 13:55:25.243,NA,2017-11-07 13:55:25.243
59,CWO0292,1,487259,2017-11-07 13:55:25.463,NA,2017-11-07 13:55:25.463
60,CWO0284,1,487252,2017-11-07 13:55:26.013,NA,2017-11-07 13:55:26.013
61,CWO0298,1,487265,2017-11-07 13:55:26.237,NA,2017-11-07 13:55:26.237
62,CWO0297,1,487264,2017-11-07 13:55:26.457,NA,2017-11-07 13:55:26.457
63,CWO0296,1,487263,2017-11-07 13:55:26.68,NA,2017-11-07 13:55:26.68
64,CWO0295,1,487262,2017-11-07 13:55:26.897,NA,2017-11-07 13:55:26.897
65,CWO0301,1,487267,2017-11-07 13:55:27.12,NA,2017-11-07 13:55:27.12
66,CWO0293,1,487260,2017-11-07 13:55:27.34,NA,2017-11-07 13:55:27.34
67,CWO0302,1,487268,2017-11-07 13:55:27.563,NA,2017-11-07 13:55:27.563
68,CWO0290,1,487258,2017-11-07 13:55:27.787,NA,2017-11-07 13:55:27.787
69,CWO0289,1,487257,2017-11-07 13:55:28.007,NA,2017-11-07 13:55:28.007
70,CWO0288,1,487256,2017-11-07 13:55:28.23,NA,2017-11-07 13:55:28.23
71,CWO0287,1,487255,2017-11-07 13:55:28.45,NA,2017-11-07 13:55:28.45
72,CWO0286,1,487254,2017-11-07 13:55:28.697,NA,2017-11-07 13:55:28.697
73,CV 0271,1,395337,2017-11-07 13:55:28.917,NA,2017-11-07 13:55:28.917
74,CWO0294,1,487261,2017-11-07 13:55:29.143,NA,2017-11-07 13:55:29.143
75,CWO0310,1,487275,2017-11-07 13:55:29.367,NA,2017-11-07 13:55:29.367
76,CV 0063,1,395267,2017-11-07 13:55:29.59,NA,2017-11-07 13:55:29.59
77,CWO0325,1,487282,2017-11-07 13:55:29.823,NA,2017-11-07 13:55:29.823
78,CWO0322,1,487281,2017-11-07 13:55:30.05,NA,2017-11-07 13:55:30.05
79,CWO0321,1,487280,2017-11-07 13:55:30.283,NA,2017-11-07 13:55:30.283
80,CWO0320,1,487279,2017-11-07 13:55:30.507,NA,2017-11-07 13:55:30.507
81,CWO0299,1,487266,2017-11-07 13:55:30.73,NA,2017-11-07 13:55:30.73
82,CWO0316,1,487277,2017-11-07 13:55:30.953,NA,2017-11-07 13:55:30.953
83,CWO0282,1,487251,2017-11-07 13:55:31.167,NA,2017-11-07 13:55:31.167
84,CWO0309,1,487274,2017-11-07 13:55:31.39,NA,2017-11-07 13:55:31.39
85,CWO0308,1,487273,2017-11-07 13:55:31.613,NA,2017-11-07 13:55:31.613
86,CWO0306,1,487272,2017-11-07 13:55:31.837,NA,2017-11-07 13:55:31.837
87,CWO0305,1,487271,2017-11-07 13:55:32.06,NA,2017-11-07 13:55:32.06
88,CWO0304,1,487270,2017-11-07 13:55:32.29,NA,2017-11-07 13:55:32.29
89,CWO0303,1,487269,2017-11-07 13:55:32.51,NA,2017-11-07 13:55:32.51
90,CWO0317,1,487278,2017-11-07 13:55:32.743,NA,2017-11-07 13:55:32.743
91,CV 0268,1,395333,2017-11-07 13:55:32.967,NA,2017-11-07 13:55:32.967
92,CWO0285,1,487253,2017-11-07 13:55:33.197,NA,2017-11-07 13:55:33.197
93,CV 0262,1,395279,2017-11-07 13:55:33.417,NA,2017-11-07 13:55:33.417
94,CV 0263,1,395328,2017-11-07 13:55:33.643,NA,2017-11-07 13:55:33.643
95,CV 0264,1,395329,2017-11-07 13:55:33.863,NA,2017-11-07 13:55:33.863
96,CV 0265,1,395330,2017-11-07 13:55:34.097,NA,2017-11-07 13:55:34.097
97,CV 0260,1,395277,2017-11-07 13:55:34.317,NA,2017-11-07 13:55:34.317
98,CV 0267,1,395332,2017-11-07 13:55:34.55,NA,2017-11-07 13:55:34.55
99,CV 0259,1,395276,2017-11-07 13:55:34.773,NA,2017-11-07 13:55:34.773
100,CV 0269,1,395334,2017-11-07 13:55:35.01,NA,2017-11-07 13:55:35.01
101,WFP0077,1,396171,2017-11-07 13:55:35.337,NA,2017-11-07 13:55:35.337
102,CV 0270,1,395336,2017-11-07 13:55:35.56,NA,2017-11-07 13:55:35.56
103,WFP0048,1,396027,2017-11-07 13:55:35.783,NA,2017-11-07 13:55:35.783
104,CV 0272,1,395338,2017-11-07 13:55:36.02,NA,2017-11-07 13:55:36.02
105,CV 0273,1,395339,2017-11-07 13:55:36.243,NA,2017-11-07 13:55:36.243
106,CV 0266,1,395331,2017-11-07 13:55:36.467,NA,2017-11-07 13:55:36.467
107,CWO0264,1,487243,2017-11-07 13:55:36.697,NA,2017-11-07 13:55:36.697
108,CWO0281,1,487250,2017-11-07 13:55:36.99,NA,2017-11-07 13:55:36.99
109,CWO0280,1,487249,2017-11-07 13:55:37.21,NA,2017-11-07 13:55:37.21
110,CWO0277,1,487248,2017-11-07 13:55:37.423,NA,2017-11-07 13:55:37.423
111,CWO0276,1,487247,2017-11-07 13:55:37.643,NA,2017-11-07 13:55:37.643
112,CWO0274,1,487246,2017-11-07 13:55:37.88,NA,2017-11-07 13:55:37.88
113,CV 0261,1,395278,2017-11-07 13:55:38.103,NA,2017-11-07 13:55:38.103
114,CWO0268,1,487244,2017-11-07 13:55:38.327,NA,2017-11-07 13:55:38.327
115,CV 0274,1,395385,2017-11-07 13:55:38.56,NA,2017-11-07 13:55:38.56
116,CWO0263,1,487242,2017-11-07 13:55:38.78,NA,2017-11-07 13:55:38.78
117,CWO0262,1,487241,2017-11-07 13:55:39,NA,2017-11-07 13:55:39
118,CWO0259,1,487240,2017-11-07 13:55:39.23,NA,2017-11-07 13:55:39.23
119,CWO0258,1,487239,2017-11-07 13:55:39.443,NA,2017-11-07 13:55:39.443
120,CWO0257,1,487238,2017-11-07 13:55:39.673,NA,2017-11-07 13:55:39.673
121,CV 0067,1,395268,2017-11-07 13:55:39.897,NA,2017-11-07 13:55:39.897
122,CWO0273,1,487245,2017-11-07 13:55:40.12,NA,2017-11-07 13:55:40.12
123,DBZ0008,1,487143,2017-11-07 13:55:40.347,NA,2017-11-07 13:55:40.347
124,CV 0057,1,395266,2017-11-07 13:55:40.573,NA,2017-11-07 13:55:40.573
125,KDS0077,1,487138,2017-11-07 13:55:40.807,NA,2017-11-07 13:55:40.807
126,KDS0078,1,487139,2017-11-07 13:55:41.03,NA,2017-11-07 13:55:41.03
127,DBZ0069,1,487184,2017-11-07 13:55:41.25,NA,2017-11-07 13:55:41.25
128,DBZ0033,1,487140,2017-11-07 13:55:41.473,NA,2017-11-07 13:55:41.473
129,KDS0075,1,487136,2017-11-07 13:55:41.693,NA,2017-11-07 13:55:41.693
130,KDS0071,1,487142,2017-11-07 13:55:41.92,NA,2017-11-07 13:55:41.92
131,DBZ0032,1,487135,2017-11-07 13:55:42.143,NA,2017-11-07 13:55:42.143
132,KDS0030,1,487144,2017-11-07 13:55:42.367,NA,2017-11-07 13:55:42.367
133,KDS0065,1,487145,2017-11-07 13:55:42.593,NA,2017-11-07 13:55:42.593
134,KDS0068,1,487146,2017-11-07 13:55:42.823,NA,2017-11-07 13:55:42.823
135,KDS0073,1,487147,2017-11-07 13:55:43.047,NA,2017-11-07 13:55:43.047
136,KDS0035,1,487148,2017-11-07 13:55:43.28,NA,2017-11-07 13:55:43.28
137,KDS0063,1,487149,2017-11-07 13:55:43.5,NA,2017-11-07 13:55:43.5
138,KDS0036,1,487141,2017-11-07 13:55:43.717,NA,2017-11-07 13:55:43.717
139,DBZ0036,1,487128,2017-11-07 13:55:43.947,NA,2017-11-07 13:55:43.947
140,WFP0059,1,396037,2017-11-07 13:55:44.167,NA,2017-11-07 13:55:44.167
141,CWO0327,1,487284,2017-11-07 13:55:44.39,NA,2017-11-07 13:55:44.39
142,DBZ0060,1,487188,2017-11-07 13:55:44.623,NA,2017-11-07 13:55:44.623
143,DBZ0089,1,487187,2017-11-07 13:55:44.853,NA,2017-11-07 13:55:44.853
144,DBZ0059,1,487186,2017-11-07 13:55:45.08,NA,2017-11-07 13:55:45.08
145,KDS0037,1,487137,2017-11-07 13:55:45.3,NA,2017-11-07 13:55:45.3
146,JWP0105,1,487127,2017-11-07 13:55:45.52,NA,2017-11-07 13:55:45.52
147,JWP0116,1,487152,2017-11-07 13:55:45.743,NA,2017-11-07 13:55:45.743
148,KDS0080,1,487129,2017-11-07 13:55:45.963,NA,2017-11-07 13:55:45.963
149,JWP0104,1,487130,2017-11-07 13:55:46.187,NA,2017-11-07 13:55:46.187
150,DBZ0040,1,487131,2017-11-07 13:55:46.407,NA,2017-11-07 13:55:46.407
151,KDS0067,1,487132,2017-11-07 13:55:46.717,NA,2017-11-07 13:55:46.717
152,DBZ0006,1,487133,2017-11-07 13:55:46.93,NA,2017-11-07 13:55:46.93
153,KDS0038,1,487134,2017-11-07 13:55:47.15,NA,2017-11-07 13:55:47.15
154,DBZ0005,1,487126,2017-11-07 13:55:47.373,NA,2017-11-07 13:55:47.373
155,DBZ0011,1,487176,2017-11-07 13:55:47.62,NA,2017-11-07 13:55:47.62
156,DBZ0051,1,487169,2017-11-07 13:55:47.853,NA,2017-11-07 13:55:47.853
157,DBZ0047,1,487170,2017-11-07 13:55:48.087,NA,2017-11-07 13:55:48.087
158,DBZ0091,1,487171,2017-11-07 13:55:48.307,NA,2017-11-07 13:55:48.307
159,KDS0070,1,487172,2017-11-07 13:55:48.53,NA,2017-11-07 13:55:48.53
160,KDS0060,1,487173,2017-11-07 13:55:48.76,NA,2017-11-07 13:55:48.76
161,KDS0062,1,487150,2017-11-07 13:55:48.973,NA,2017-11-07 13:55:48.973
162,DBZ0025,1,487175,2017-11-07 13:55:49.203,NA,2017-11-07 13:55:49.203
163,DBZ0027,1,487166,2017-11-07 13:55:49.423,NA,2017-11-07 13:55:49.423
164,DBZ0092,1,487177,2017-11-07 13:55:49.647,NA,2017-11-07 13:55:49.647
165,DBZ0055,1,487178,2017-11-07 13:55:49.87,NA,2017-11-07 13:55:49.87
166,DBZ0020,1,487179,2017-11-07 13:55:50.097,NA,2017-11-07 13:55:50.097
167,DBZ0090,1,487180,2017-11-07 13:55:50.32,NA,2017-11-07 13:55:50.32
168,DBZ0010,1,487181,2017-11-07 13:55:50.55,NA,2017-11-07 13:55:50.55
169,DBZ0015,1,487182,2017-11-07 13:55:50.77,NA,2017-11-07 13:55:50.77
170,DBZ0016,1,487174,2017-11-07 13:55:51.01,NA,2017-11-07 13:55:51.01
171,DBZ0035,1,487160,2017-11-07 13:55:51.23,NA,2017-11-07 13:55:51.23
172,DBZ0056,1,487189,2017-11-07 13:55:51.453,NA,2017-11-07 13:55:51.453
173,JWP0115,1,487153,2017-11-07 13:55:51.68,NA,2017-11-07 13:55:51.68
174,JWP0080,1,487154,2017-11-07 13:55:51.9,NA,2017-11-07 13:55:51.9
175,KDS0034,1,487155,2017-11-07 13:55:52.11,NA,2017-11-07 13:55:52.11
176,KDS0066,1,487156,2017-11-07 13:55:52.34,NA,2017-11-07 13:55:52.34
177,KDS0061,1,487157,2017-11-07 13:55:52.567,NA,2017-11-07 13:55:52.567
178,DBZ0012,1,487168,2017-11-07 13:55:52.813,NA,2017-11-07 13:55:52.813
179,KDS0033,1,487159,2017-11-07 13:55:53.033,NA,2017-11-07 13:55:53.033
180,DBZ0026,1,487167,2017-11-07 13:55:53.257,NA,2017-11-07 13:55:53.257
181,KDS0028,1,487161,2017-11-07 13:55:53.477,NA,2017-11-07 13:55:53.477
182,KDS0069,1,487162,2017-11-07 13:55:53.703,NA,2017-11-07 13:55:53.703
183,KDS0076,1,487163,2017-11-07 13:55:53.923,NA,2017-11-07 13:55:53.923
184,KDS0072,1,487164,2017-11-07 13:55:54.147,NA,2017-11-07 13:55:54.147
185,JWP0087,1,487165,2017-11-07 13:55:54.367,NA,2017-11-07 13:55:54.367
186,KDS0064,1,487151,2017-11-07 13:55:54.59,NA,2017-11-07 13:55:54.59
187,KDS0029,1,487158,2017-11-07 13:55:54.813,NA,2017-11-07 13:55:54.813
188,CWO0323,1,487218,2017-11-07 13:55:55.033,NA,2017-11-07 13:55:55.033
189,REL0052,1,500295,2017-11-07 13:55:55.26,NA,2017-11-07 13:55:55.26
190,CWO0232,1,487224,2017-11-07 13:55:55.483,NA,2017-11-07 13:55:55.483
191,CWO0231,1,487223,2017-11-07 13:55:55.707,NA,2017-11-07 13:55:55.707
192,CWO0230,1,487222,2017-11-07 13:55:55.927,NA,2017-11-07 13:55:55.927
193,CWO0275,1,487221,2017-11-07 13:55:56.16,NA,2017-11-07 13:55:56.16
194,CWO0235,1,487226,2017-11-07 13:55:56.38,NA,2017-11-07 13:55:56.38
195,CWO0356,1,487219,2017-11-07 13:55:56.6,NA,2017-11-07 13:55:56.6
196,CWO0236,1,487227,2017-11-07 13:55:56.827,NA,2017-11-07 13:55:56.827
197,CWO0324,1,487217,2017-11-07 13:55:57.05,NA,2017-11-07 13:55:57.05
198,CWO0266,1,487216,2017-11-07 13:55:57.267,NA,2017-11-07 13:55:57.267
199,CWO0265,1,487215,2017-11-07 13:55:57.49,NA,2017-11-07 13:55:57.49
200,KDS0079,1,487214,2017-11-07 13:55:57.713,NA,2017-11-07 13:55:57.713
201,DBZ0019,1,487213,2017-11-07 13:55:58.027,NA,2017-11-07 13:55:58.027
202,JWP0098,1,487115,2017-11-07 13:55:58.24,NA,2017-11-07 13:55:58.24
203,CWO0318,1,487220,2017-11-07 13:55:58.473,NA,2017-11-07 13:55:58.473
204,CWO0253,1,487235,2017-11-07 13:55:58.693,NA,2017-11-07 13:55:58.693
205,WFP0055,1,396033,2017-11-07 13:55:58.913,NA,2017-11-07 13:55:58.913
206,WFP0056,1,396034,2017-11-07 13:55:59.137,NA,2017-11-07 13:55:59.137
207,WFP0062,1,396038,2017-11-07 13:55:59.363,NA,2017-11-07 13:55:59.363
208,DBZ0017,1,487183,2017-11-07 13:55:59.583,NA,2017-11-07 13:55:59.583
209,WFP0078,1,396172,2017-11-07 13:55:59.81,NA,2017-11-07 13:55:59.81
210,CWO0234,1,487225,2017-11-07 13:56:00.03,NA,2017-11-07 13:56:00.03
211,JMC0083,1,482847,2017-11-07 13:56:00.253,NA,2017-11-07 13:56:00.253
212,DBZ0009,1,487118,2017-11-07 13:56:00.493,NA,2017-11-07 13:56:00.493
213,CWO0252,1,487234,2017-11-07 13:56:00.717,NA,2017-11-07 13:56:00.717
214,CWO0251,1,487233,2017-11-07 13:56:00.937,NA,2017-11-07 13:56:00.937
215,CWO0244,1,487231,2017-11-07 13:56:01.157,NA,2017-11-07 13:56:01.157
216,CWO0240,1,487230,2017-11-07 13:56:01.377,NA,2017-11-07 13:56:01.377
217,CWO0239,1,487229,2017-11-07 13:56:01.597,NA,2017-11-07 13:56:01.597
218,CWO0237,1,487228,2017-11-07 13:56:01.823,NA,2017-11-07 13:56:01.823
219,WFP0081,1,396175,2017-11-07 13:56:02.043,NA,2017-11-07 13:56:02.043
220,DBZ0039,1,487195,2017-11-07 13:56:02.277,NA,2017-11-07 13:56:02.277
221,DBZ0023,1,487201,2017-11-07 13:56:02.51,NA,2017-11-07 13:56:02.51
222,JWP0092,1,487200,2017-11-07 13:56:02.757,NA,2017-11-07 13:56:02.757
223,JWP0093,1,487199,2017-11-07 13:56:02.98,NA,2017-11-07 13:56:02.98
224,DBZ0042,1,487198,2017-11-07 13:56:03.2,NA,2017-11-07 13:56:03.2
225,DBZ0024,1,487197,2017-11-07 13:56:03.427,NA,2017-11-07 13:56:03.427
226,JWP0085,1,487116,2017-11-07 13:56:03.65,NA,2017-11-07 13:56:03.65
227,DBZ0003,1,487124,2017-11-07 13:56:03.873,NA,2017-11-07 13:56:03.873
228,DBZ0028,1,487203,2017-11-07 13:56:04.097,NA,2017-11-07 13:56:04.097
229,DBZ0002,1,487125,2017-11-07 13:56:04.327,NA,2017-11-07 13:56:04.327
230,DBZ0022,1,487194,2017-11-07 13:56:04.547,NA,2017-11-07 13:56:04.547
231,DBZ0029,1,487193,2017-11-07 13:56:04.77,NA,2017-11-07 13:56:04.77
232,DBZ0018,1,487192,2017-11-07 13:56:04.993,NA,2017-11-07 13:56:04.993
233,DBZ0021,1,487191,2017-11-07 13:56:05.217,NA,2017-11-07 13:56:05.217
234,DBZ0046,1,487190,2017-11-07 13:56:05.447,NA,2017-11-07 13:56:05.447
235,DBZ0074,1,487196,2017-11-07 13:56:05.673,NA,2017-11-07 13:56:05.673
236,JWP0114,1,487209,2017-11-07 13:56:05.9,NA,2017-11-07 13:56:05.9
237,WFP0049,1,396028,2017-11-07 13:56:06.123,NA,2017-11-07 13:56:06.123
238,DBZ0014,1,487119,2017-11-07 13:56:06.353,NA,2017-11-07 13:56:06.353
239,JWP0045,1,487120,2017-11-07 13:56:06.573,NA,2017-11-07 13:56:06.573
240,JWP0084,1,487121,2017-11-07 13:56:06.793,NA,2017-11-07 13:56:06.793
241,JWP0099,1,487122,2017-11-07 13:56:07.013,NA,2017-11-07 13:56:07.013
242,DBZ0054,1,487123,2017-11-07 13:56:07.24,NA,2017-11-07 13:56:07.24
243,JWP0107,1,487202,2017-11-07 13:56:07.46,NA,2017-11-07 13:56:07.46
244,KDS0081,1,487210,2017-11-07 13:56:07.7,NA,2017-11-07 13:56:07.7
245,CWO0326,1,487283,2017-11-07 13:56:07.927,NA,2017-11-07 13:56:07.927
246,DBZ0013,1,487208,2017-11-07 13:56:08.153,NA,2017-11-07 13:56:08.153
247,JWP0108,1,487207,2017-11-07 13:56:08.377,NA,2017-11-07 13:56:08.377
248,JWP0106,1,487206,2017-11-07 13:56:08.597,NA,2017-11-07 13:56:08.597
249,JWP0088,1,487205,2017-11-07 13:56:08.81,NA,2017-11-07 13:56:08.81
250,JWP0113,1,487204,2017-11-07 13:56:09.03,NA,2017-11-07 13:56:09.03
251,KDS0074,1,487117,2017-11-07 13:56:09.327,NA,2017-11-07 13:56:09.327
252,JWP0028,1,487212,2017-11-07 13:56:09.553,NA,2017-11-07 13:56:09.553
253,CWO0731,1,487843,2017-11-07 13:56:09.79,NA,2017-11-07 13:56:09.79
254,CWO0673,1,487828,2017-11-07 13:56:10.013,NA,2017-11-07 13:56:10.013
255,CWO0674,1,487829,2017-11-07 13:56:10.237,NA,2017-11-07 13:56:10.237
256,CWO0675,1,487830,2017-11-07 13:56:10.46,NA,2017-11-07 13:56:10.46
257,CWO0676,1,487831,2017-11-07 13:56:10.683,NA,2017-11-07 13:56:10.683
258,CWO0677,1,487832,2017-11-07 13:56:10.907,NA,2017-11-07 13:56:10.907
259,CWO0678,1,487833,2017-11-07 13:56:11.157,NA,2017-11-07 13:56:11.157
260,CWO0679,1,487834,2017-11-07 13:56:11.387,NA,2017-11-07 13:56:11.387
261,CWO0680,1,487835,2017-11-07 13:56:11.61,NA,2017-11-07 13:56:11.61
262,CWO0681,1,487836,2017-11-07 13:56:11.83,NA,2017-11-07 13:56:11.83
263,CWO0682,1,487837,2017-11-07 13:56:12.053,NA,2017-11-07 13:56:12.053
264,CWO0726,1,487838,2017-11-07 13:56:12.277,NA,2017-11-07 13:56:12.277
265,CWO0727,1,487839,2017-11-07 13:56:12.497,NA,2017-11-07 13:56:12.497
266,CWO0728,1,487840,2017-11-07 13:56:12.72,NA,2017-11-07 13:56:12.72
267,DBH0163,1,500050,2017-11-07 13:56:12.957,NA,2017-11-07 13:56:12.957
268,CWO0737,1,487849,2017-11-07 13:56:13.18,NA,2017-11-07 13:56:13.18
269,REL0050,1,500293,2017-11-07 13:56:13.403,NA,2017-11-07 13:56:13.403
270,DBH0161,1,500048,2017-11-07 13:56:13.627,NA,2017-11-07 13:56:13.627
271,DBH0160,1,500047,2017-11-07 13:56:13.847,NA,2017-11-07 13:56:13.847
272,CWO0738,1,487859,2017-11-07 13:56:14.07,NA,2017-11-07 13:56:14.07
273,CWO0815,1,487853,2017-11-07 13:56:14.29,NA,2017-11-07 13:56:14.29
274,CWO0729,1,487841,2017-11-07 13:56:14.517,NA,2017-11-07 13:56:14.517
275,CWO0739,1,487851,2017-11-07 13:56:14.743,NA,2017-11-07 13:56:14.743
276,CWO0730,1,487842,2017-11-07 13:56:14.97,NA,2017-11-07 13:56:14.97
277,CWO0736,1,487848,2017-11-07 13:56:15.203,NA,2017-11-07 13:56:15.203
278,CWO0735,1,487847,2017-11-07 13:56:15.423,NA,2017-11-07 13:56:15.423
279,CWO0734,1,487846,2017-11-07 13:56:15.647,NA,2017-11-07 13:56:15.647
280,CWO0733,1,487845,2017-11-07 13:56:15.867,NA,2017-11-07 13:56:15.867
281,CWO0732,1,487844,2017-11-07 13:56:16.09,NA,2017-11-07 13:56:16.09
282,CWO0670,1,487825,2017-11-07 13:56:16.313,NA,2017-11-07 13:56:16.313
283,CWO0814,1,487852,2017-11-07 13:56:16.543,NA,2017-11-07 13:56:16.543
284,CWO0614,1,487781,2017-11-07 13:56:16.767,NA,2017-11-07 13:56:16.767
285,CWO0672,1,487827,2017-11-07 13:56:16.99,NA,2017-11-07 13:56:16.99
286,CWO0650,1,487808,2017-11-07 13:56:17.22,NA,2017-11-07 13:56:17.22
287,CWO0649,1,487807,2017-11-07 13:56:17.44,NA,2017-11-07 13:56:17.44
288,CWO0648,1,487806,2017-11-07 13:56:17.663,NA,2017-11-07 13:56:17.663
289,CWO0647,1,487805,2017-11-07 13:56:17.897,NA,2017-11-07 13:56:17.897
290,CWO0652,1,487810,2017-11-07 13:56:18.107,NA,2017-11-07 13:56:18.107
291,CWO0615,1,487782,2017-11-07 13:56:18.34,NA,2017-11-07 13:56:18.34
292,CWO0654,1,487811,2017-11-07 13:56:18.563,NA,2017-11-07 13:56:18.563
293,CWO0613,1,487780,2017-11-07 13:56:18.787,NA,2017-11-07 13:56:18.787
294,CWO0612,1,487779,2017-11-07 13:56:19.01,NA,2017-11-07 13:56:19.01
295,CWO0611,1,487778,2017-11-07 13:56:19.237,NA,2017-11-07 13:56:19.237
296,CWO0610,1,487777,2017-11-07 13:56:19.46,NA,2017-11-07 13:56:19.46
297,CWO0609,1,487776,2017-11-07 13:56:19.693,NA,2017-11-07 13:56:19.693
298,CWO0608,1,487775,2017-11-07 13:56:19.913,NA,2017-11-07 13:56:19.913
299,CWO0633,1,487791,2017-11-07 13:56:20.137,NA,2017-11-07 13:56:20.137
300,CWO0662,1,487818,2017-11-07 13:56:20.367,NA,2017-11-07 13:56:20.367
301,DBZ0141,1,500060,2017-11-07 13:56:20.67,NA,2017-11-07 13:56:20.67
302,CWO0669,1,487824,2017-11-07 13:56:20.893,NA,2017-11-07 13:56:20.893
