Specimen,TH,JAR,JAR_PrevStorage,INVENTORIED,INVENTORY_DATE,CAVIAL,CALTEETH,DECALTEETH,DEVIALS,SECTIONS,VIALSTORE,SLIDESTORE,IMAGE,CurateDate,EditDate,EditUser,RecordCreationDate
GMA0077,2469,37,NA,NA,NA,NA,NA,NA,1,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0078,8008,NA,NA,NA,NA,1,7,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0079,2495,NA,NA,NA,NA,1,6,3,1,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0080,8009,NA,NA,NA,NA,1,6,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0083,8010,NA,NA,NA,NA,1,7,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0084,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0086,8011,NA,NA,NA,NA,1,2,3,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0087,2470,NA,NA,NA,NA,1,7,NA,2,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0088,2496,NA,NA,NA,NA,1,5,4,1,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0091,8012,NA,NA,NA,NA,1,8,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0092,2497,NA,NA,NA,NA,1,6,5,1,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0093,2471,NA,NA,NA,NA,1,9,2,1,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0095,8013,NA,NA,NA,NA,1,7,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0096,2472,NA,NA,NA,NA,1,4,5,1,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0097,2473,NA,NA,NA,NA,1,6,4,1,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0098,2498,NA,NA,NA,NA,1,12,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0099,2474,NA,NA,NA,NA,1,8,NA,NA,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0100,8014,NA,NA,NA,NA,1,10,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0101,2475,NA,NA,NA,NA,1,4,2,2,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0102,2476,NA,NA,NA,NA,1,7,NA,NA,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0103,2477,NA,NA,NA,NA,1,1,NA,NA,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0105,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0107,2478,NA,NA,NA,NA,1,10,NA,NA,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0108,2499,NA,NA,NA,NA,1,12,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0111,2479,NA,NA,NA,NA,1,9,NA,NA,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0112,2500,NA,NA,NA,NA,1,4,2,1,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0113,2480,NA,NA,NA,NA,1,6,5,1,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0115,2501,NA,NA,NA,NA,1,11,NA,NA,N,C,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0116,8015,NA,NA,NA,NA,1,12,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0117,8016,NA,NA,NA,NA,1,3,NA,NA,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0118,8017,NA,NA,NA,NA,1,7,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0119,8018,NA,NA,NA,NA,1,8,NA,NA,N,C,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0122,8019,NA,NA,NA,NA,1,8,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0123,8020,NA,NA,NA,NA,1,9,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0125,2481,NA,NA,NA,NA,1,3,2,2,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0126,8021,NA,NA,NA,NA,NA,NA,NA,NA,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0127,8022,NA,NA,NA,NA,1,5,NA,NA,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0131,8023,NA,NA,NA,NA,1,7,NA,NA,Y,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0133,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
GMA0138,8024,NA,NA,NA,NA,1,9,NA,NA,N,C,Y,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
