ID,Specimen,Age,IsAnalysisQuality,EstimationMethod,AgeReader1,ReaderID1,AgeReader2,ReaderID2,AgeReader3,ReaderID3,AgeReader4,ReaderID4,EditDate,EditUser,RecordCreationDate
11776,TBS0304,8.25,Y,Mean: ReaderID_1 & 2,8.5,6,8,9,6.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11777,TBS0305,4.85,Y,Mean: ReaderID_1 & 2,5.5,6,4.2,9,4.6,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11778,TBS0306,5.7,Y,NA,5.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11779,TBS0307,6.7,Y,NA,6.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11780,TBS0308,3.75,Y,Mean: ReaderID_1 & 2,4,6,3.5,9,6.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11781,TBS0309,5.4,Y,Mean: ReaderID_1 & 2,5.5,6,5.3,9,6.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11782,TBS0310,5.35,Y,Mean                ,5,6,5.7,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11783,TBS0313,13.5,Y,Mean: ReaderID_1 & 2,13,6,14,9,7.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11784,TBS0316,2.9,Y,Mean                ,2.1,6,3.7,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11785,TBS0318,6.7,Y,NA,6.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11786,TBS0319,3.3,Y,Mean: ReaderID_1 & 2,3.3,6,3.3,9,5.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11787,TBS0320,5.75,Y,Mean: ReaderID_1 & 2,5.5,6,6,9,7.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11788,TBS0321,8.8,Y,NA,8.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11789,TBS0322,5.7,Y,NA,5.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
